Accession name,P1,Standard,Ratio,Corrected Genome ,Variety,Location
Palmeri,75569,26841,2.815431616,2477.579822,UNKNOWN,
Palmeri,75994,27458,2.767645131,2435.527715,UNKNOWN,
Palmeri,74591,27183,2.744031196,2414.747452,UNKNOWN,
Palmeri,76825,28117,2.732332752,2404.452822,UNKNOWN,
PaymasterB,74611,27507,2.712436834,2386.944414,OBSOLETE,
PaymasterB,75439,27784,2.715195796,2389.372301,OBSOLETE,
PaymasterB,73501,25975,2.829682387,2490.1205,OBSOLETE,
PaymasterB,73369,25610,2.864857478,2521.07458,OBSOLETE,
TX1228,76335,27549,2.770880976,2438.375259,WILD,Veracruz Mexico
TX1228,76111,27572,2.760445379,2429.191934,WILD,Veracruz Mexico
TX1228,74395,26031,2.857938612,2514.985978,WILD,Veracruz Mexico
TX1228,75348,26712,2.820754717,2482.264151,WILD,Veracruz Mexico
Stoneville,75640,27804,2.720471875,2394.01525,OBSOLETE,
Stoneville,74847,26195,2.857301012,2514.42489,OBSOLETE,
Stoneville,74658,26426,2.825172179,2486.151517,OBSOLETE,
Stoneville,71468,25722,2.778477568,2445.06026,OBSOLETE,
TX1530,76221,27172,2.805130281,2468.514647,WILD,Micohoacan Mexico
TX1530,74037,26347,2.810073253,2472.864463,WILD,Micohoacan Mexico
TX1530,72251,26089,2.76940473,2437.076162,WILD,Micohoacan Mexico
TX1530,74282,27311,2.719856468,2393.473692,WILD,Micohoacan Mexico
TX1055,78516,28299,2.774515001,2441.5732,WILD,Veracruz Mexico
TX1055,77876,27373,2.844993242,2503.594053,WILD,Veracruz Mexico
TX1055,78049,28000,2.787464286,2452.968571,WILD,Veracruz Mexico
TX1055,78238,28104,2.783874182,2449.80928,WILD,Veracruz Mexico
TM1,76219,27504,2.771196917,2438.653287,UNKNOWN,
TM1,73485,25428,2.889924493,2543.133554,UNKNOWN,
TM1,75902,27008,2.810352488,2473.11019,UNKNOWN,
TM1,75717,26401,2.867959547,2523.804401,UNKNOWN,
Cascot L7,78518,28069,2.797320888,2461.642381,CULTIVAR,
Cascot L7,78792,28775,2.738210252,2409.625022,CULTIVAR,
Cascot L7,73890,25892,2.853777228,2511.323961,CULTIVAR,
Cascot L7,75979,26642,2.851850462,2509.628406,CULTIVAR,
Deltapine,72736,26440,2.750983359,2420.865356,CULTIVAR,
Deltapine,75205,26917,2.793959208,2458.684103,CULTIVAR,
Deltapine,74777,26490,2.822838807,2484.09815,CULTIVAR,
Deltapine,72073,26187,2.75224348,2421.974262,CULTIVAR,
Maxxa,77776,27343,2.844457448,2503.122554,CULTIVAR,
Maxxa,77533,27237,2.84660572,2505.013034,CULTIVAR,
Maxxa,73867,25493,2.897540501,2549.835641,CULTIVAR,
Maxxa,74001,25977,2.848712322,2506.866844,CULTIVAR,
TX1102,75131,26617,2.822669722,2483.949356,WILD,Chiapas Mexico
TX1102,75452,27041,2.790281425,2455.447654,WILD,Chiapas Mexico
TX1102,73862,25701,2.873895957,2529.028442,WILD,Chiapas Mexico
TX1102,74885,26333,2.843770174,2502.517753,WILD,Chiapas Mexico
TX2089,75442,26650,2.830844278,2491.142964,UNKNOWN,? Palmeri? 
TX2089,76173,26688,2.854204137,2511.69964,UNKNOWN,? Palmeri? 
TX2089,73228,26018,2.814513029,2476.771466,UNKNOWN,? Palmeri? 
TX2089,73221,26092,2.806262456,2469.510961,UNKNOWN,? Palmeri? 
