Accession name,P1,Standard,Ratio,Corrected Genome ,Variety,Location
Palmeri,75569,26841,,,2089 ???,
Palmeri,75994,27458,,,2089 ???,
Palmeri,74591,27183,,,2089 ???,
Palmeri,76825,28117,,,2089 ???,
PaymasterB,74611,27507,,,OBSOLETE,
PaymasterB,75439,27784,,,OBSOLETE,
PaymasterB,73501,25975,,,OBSOLETE,
PaymasterB,73369,25610,,,OBSOLETE,
TX1228,76335,27549,,,WILD,Veracruz Mexico
TX1228,76111,27572,,,WILD,Veracruz Mexico
TX1228,74395,26031,,,WILD,Veracruz Mexico
TX1228,75348,26712,,,WILD,Veracruz Mexico
Stoneville,75640,27804,,,OBSOLETE,
Stoneville,74847,26195,,,OBSOLETE,
Stoneville,74658,26426,,,OBSOLETE,
Stoneville,71468,25722,,,OBSOLETE,
TX1530,76221,27172,,,WILD,Micohoacan Mexico
TX1530,74037,26347,,,WILD,Micohoacan Mexico
TX1530,72251,26089,,,WILD,Micohoacan Mexico
TX1530,74282,27311,,,WILD,Micohoacan Mexico
TX1055,78516,28299,,,WILD,Veracruz Mexico
TX1055,77876,27373,,,WILD,Veracruz Mexico
TX1055,78049,28000,,,WILD,Veracruz Mexico
TX1055,78238,28104,,,WILD,Veracruz Mexico
TM1,76219,27504,,,,
TM1,73485,25428,,,,
TM1,75902,27008,,,,
TM1,75717,26401,,,,
Cascot L7,78518,28069,,,CULTIVAR,
Cascot L7,78792,28775,,,CULTIVAR,
Cascot L7,73890,25892,,,CULTIVAR,
Cascot L7,75979,26642,,,CULTIVAR,
Deltapine,72736,26440,,,CULTIVAR,
Deltapine,75205,26917,,,CULTIVAR,
Deltapine,74777,26490,,,CULTIVAR,
Deltapine,72073,26187,,,CULTIVAR,
Maxxa,77776,27343,,,CULTIVAR,
Maxxa,77533,27237,,,CULTIVAR,
Maxxa,73867,25493,,,CULTIVAR,
Maxxa,74001,25977,,,CULTIVAR,
TX1102,75131,26617,,,WILD,Chiapas Mexico
TX1102,75452,27041,,,WILD,Chiapas Mexico
TX1102,73862,25701,,,WILD,Chiapas Mexico
TX1102,74885,26333,,,WILD,Chiapas Mexico
TX2089,75442,26650,,,CULTIVAR,? Palmeri? 
TX2089,76173,26688,,,,
TX2089,73228,26018,,,,
TX2089,73221,26092,,,,
